"EASTING","NORTHING"
16.5,16.5
8.5,16.5
10.5,23.5
12.5,23.5
1.5,0.5
9.5,19.5
9.5,1.5
18.5,3.5
19.5,16.5
15.5,16.5
16.5,17.5
13.5,6.5
12.5,14.5
18.5,23.5
1.5,16.5
6.5,16.5
13.5,2.5
17.5,13.5
20.5,3.5
8.5,19.5
22.5,24.5
6.5,1.5
20.5,12.5
19.5,16.5
12.5,3.5
19.5,17.5
10.5,0.5
22.5,23.5
4.5,18.5
19.5,23.5
11.5,17.5
0.5,17.5
8.5,12.5
13.5,18.5
6.5,22.5
13.5,6.5
10.5,23.5
12.5,7.5
16.5,12.5
10.5,23.5
13.5,20.5
21.5,20.5
13.5,5.5
4.5,3.5
1.5,21.5
6.5,9.5
1.5,0.5
12.5,2.5
23.5,4.5
15.5,9.5
10.5,14.5
10.5,5.5
19.5,15.5
23.5,0.5
14.5,7.5
24.5,17.5
13.5,7.5
2.5,10.5
13.5,7.5
8.5,18.5
10.5,8.5
11.5,20.5
21.5,7.5
18.5,1.5
23.5,5.5
18.5,11.5
19.5,16.5
19.5,9.5
24.5,22.5
17.5,3.5
13.5,6.5
24.5,22.5
3.5,18.5
5.5,17.5
2.5,11.5
12.5,21.5
7.5,2.5
17.5,15.5
21.5,24.5
14.5,3.5
13.5,13.5
16.5,4.5
19.5,18.5
19.5,20.5
0.5,20.5
19.5,18.5
3.5,11.5
10.5,9.5
13.5,16.5
1.5,11.5
14.5,14.5
4.5,4.5
12.5,18.5
21.5,5.5
4.5,21.5
10.5,16.5
1.5,22.5
24.5,8.5
14.5,12.5
21.5,2.5
